slug,name,address,vehicle_type,day,time_start,time_end,rate
tuv-sud-psb,TUV SUD PSB,"1 Science Park Drive, S(118221)",Car,Mon - Sun & PH,08:00 AM,08:00 AM,10 mins grace period; First hour $2.00; Subsequent 30 mins $1.60
tye-soon-building,Tye Soon Building,"3C Toh Guan Road East, S(608832)",Car,Mon - Sun & PH,07:00 AM,07:00 AM,30 mins grace period; First hour $1.28; Subsequent 30 mins $0.64; Capped at $6.40
valley-point,Valley Point,"491 River Valley Road, S(248371)",Car,Mon - Sun & PH,07:00 AM,07:00 AM,First hour $1.50; Subsequent 30 mins $0.80
vision-exchange,Vision Exchange,"2 Venture Drive, S(608526)",Car,Mon - Sun & PH,12:00 AM,06:00 PM,First hour $1.85; Subsequent 15 mins $0.49
vision-exchange,Vision Exchange,"2 Venture Drive, S(608526)",Car,Mon - Sun & PH,06:00 PM,12:00 AM,$3.49 per entry
west-mall,West Mall,"1 Bukit Batok Central Link, S(658713)",Car,Mon - Fri,06:00 AM,04:59 PM,First 2 hours $2.20; Subsequent 30 mins $0.70
west-mall,West Mall,"1 Bukit Batok Central Link, S(658713)",Car,Mon - Fri,05:00 PM,06:00 AM,$2.95 per entry
west-mall,West Mall,"1 Bukit Batok Central Link, S(658713)",Car,Sat,06:00 AM,04:59 PM,First hour $1.40; Subsequent 30 mins $0.70
west-mall,West Mall,"1 Bukit Batok Central Link, S(658713)",Car,Sat,05:00 PM,06:00 AM,$1.40 per hour
west-mall,West Mall,"1 Bukit Batok Central Link, S(658713)",Car,Sun & PH,06:00 AM,06:00 AM,$2.95 per entry
wcega-plaza-tower,WCEGA Plaza & Tower,"1 Bukit Batok Crescent, S(658064)",Car,Mon - Sun & PH,06:00 AM,12:00 AM,hour grace period; Per hour $1.10; Capped at $15.00
wcega-plaza-tower,WCEGA Plaza & Tower,"1 Bukit Batok Crescent, S(658064)",Car,Mon - Sun & PH,12:00 AM,06:00 AM,No parking
west-park-bizcentral,West Park BizCentral,"24 Pioneer Crescent, S(628557)",Car,Mon - Fri,07:00 AM,05:00 PM,$0.60 per 30 mins
west-park-bizcentral,West Park BizCentral,"24 Pioneer Crescent, S(628557)",Car,Mon - Fri,05:00 PM,07:00 AM,$0.60 per 30 mins
west-park-bizcentral,West Park BizCentral,"24 Pioneer Crescent, S(628557)",Car,Sat - Sun & PH,07:00 AM,07:00 AM,$0.60 per 30 mins
west-coast-recreation-centre,West Coast Recreation Centre,"12 West Coast Walk, S(127157)",Car,Mon - Sun & PH,06:30 AM,06:00 PM,$0.50 per 30 mins
west-coast-recreation-centre,West Coast Recreation Centre,"12 West Coast Walk, S(127157)",Car,Mon - Sun & PH,06:00 PM,03:00 AM,$2.00 per entry
west-coast-recreation-centre,West Coast Recreation Centre,"12 West Coast Walk, S(127157)",Car,Mon - Sun & PH,03:00 AM,06:30 AM,$5.00 per entry
west-point-family-hospital,West Point Family Hospital,"235 Corporation Drive, S(619771)",Car,Mon - Sun & PH,12:00 AM,12:00 AM,Free parking
westgate,Westgate,"3 Gateway Drive, S(608532)",Car,Mon - Sun & PH,07:00 AM,04:59 PM,First hour $1.60; Subsequent 15 mins $0.55
westgate,Westgate,"3 Gateway Drive, S(608532)",Car,Mon - Sun & PH,06:00 PM,11:59 PM,$3.25 per entry
far-east-shopping-centre,Far East Shopping Centre,"545 Orchard Road, S(238882)",Car,Mon - Sun & PH,08:00 AM,06:00 PM,First hour $3.00; Subsequent 30 mins $1.50
far-east-shopping-centre,Far East Shopping Centre,"545 Orchard Road, S(238882)",Car,Mon - Sun & PH,06:00 PM,12:00 AM,$3.50 per entry
far-east-shopping-centre,Far East Shopping Centre,"545 Orchard Road, S(238882)",Car,Mon - Sun & PH,12:00 AM,08:00 AM,$5.00 per entry
fairmont-singapore,Fairmont Singapore,"80 Bras Basah Road, S(189560)",Car,Mon - Fri,08:00 AM,06:00 PM,First hour $2.20; Subsequent 15 mins $0.55
fairmont-singapore,Fairmont Singapore,"80 Bras Basah Road, S(189560)",Car,Mon - Fri,06:00 PM,08:00 AM,$3.00 per hour
fairmont-singapore,Fairmont Singapore,"80 Bras Basah Road, S(189560)",Car,Sat - Sun & PH,12:00 AM,12:00 AM,First 2 hours $2.20; Subsequent 15 mins $0.40
far-eastern-bank-building,Far Eastern Bank Building,"156 Cecil Street, S(069544)",Car,Mon - Fri,07:00 AM,06:00 PM,$2.50 per 30 mins
far-eastern-bank-building,Far Eastern Bank Building,"156 Cecil Street, S(069544)",Car,Mon - Fri,06:30 PM,07:00 AM,$3.20 per entry
far-eastern-bank-building,Far Eastern Bank Building,"156 Cecil Street, S(069544)",Car,Sat,07:00 AM,01:00 PM,$2.50 per 30 mins
far-eastern-bank-building,Far Eastern Bank Building,"156 Cecil Street, S(069544)",Car,Sat,01:00 PM,07:00 AM,$3.20 per entry
far-east-plaza,Far East Plaza,"14 Scotts Road, S(228213)",Car,Mon - Sun & PH,08:00 AM,05:00 PM,10 mins grace period; First hour $1.80; Subsequent 30 mins $1.50
far-east-plaza,Far East Plaza,"14 Scotts Road, S(228213)",Car,Mon - Sun & PH,05:00 PM,08:00 AM,10 mins grace period; $3.50 per entry
