slug,name,address
blk-334-333-kreta-ayer-blk-4-sago-lane,"Blk 334/333 Kreta Ayer, Blk 4 Sago Lane",334 Kreta Ayer Road Singapore 050004
buddha-tooth-relic-temple-and-museum-singapore,Buddha Tooth Relic Temple and Museum (Singapore),288 South Bridge Road Singapore 058840
bugis-junction,Bugis Junction,200 Victoria Street Singapore 180021
bras-basah-complex,Bras Basah Complex,231 Bain Street Singapore 180231
cairnhill-art-centre,Cairnhill Art Centre,126 Cairnhill Road Singapore 229707
burlington-square,Burlington Square,175 Bencoolen Street Singapore 189649
bugis,Bugis+,201 Victoria Street Singapore 188067
cairnhill-community-club-cc,Cairnhill Community Club (CC),1 Anthony Road Singapore 229944
capitacommercial-trust-cct,CapitaCommercial Trust (CCT),39 Robinson Road Singapore 068911
camden-medical-centre,Camden Medical Centre,1 Orchard Boulevard Singapore 248649
capitagreen,CapitaGreen,138 Market Street Singapore 048946
capella-singapore,Capella Singapore,1 The Knolls Sentosa Island Singapore 098297
capitol-centre,Capitol Centre,"141 North Bridge Road, S(179099)"
capital-square,Capital Square,23 Church Street Singapore 049481
capitaspring,CapitaSpring,88 Market Street Singapore 048948
capital-tower,Capital Tower,168 Robinson Road Singapore 068912
carlton-city-hotel-singapore,"Carlton City Hotel, Singapore",1 Gopeng Street Singapore 078862
carpark-22-bideford-road,Carpark @ 22 Bideford Road,22 Bideford Road Singapore 229923
carlton-hotel,Carlton Hotel,76 Bras Basah Road Singapore 189558
capitol-piazza,Capitol Piazza,13 Stamford Road Singapore 178905
cendex-centre,Cendex Centre,"120 Lower Delta Road, S(169208)"
central-square,Central Square,"20 Havelock Road, S(059765)"
central-mall,Central Mall,1 & 3 Magazine Road Singapore 059567
centennial-tower,Centennial Tower,"3 Temasek Avenue, S(039190)"
chang-hua-building,Chang Hua Building,112 Lavender Street Singapore 338728
ces-centre,CES Centre,171 Chin Swee Road Singapore 169877
cheng-yan-court,Cheng Yan Court,269 Queen Street Singapore 180269
chevron-house,Chevron House,30 Raffles Place Singapore 048622
wisteria-mall,Wisteria Mall,"598 Yishun Ring Road, Singapore 769698"
westinton-building,Westinton Building,"6 Ang Mo Kio Industrial Park 2, Singapore 568012"
wave9,Wave9,"71 Woodlands Industrial Park E9, Singapore 757048"
woodlands-11,Woodlands 11,"11 Woodlands Close, Singapore 737853"
woodlands-east-industrial-estate,Woodlands East Industrial Estate,"20 Woodlands Link, Singapore 738733"
woodlands-civic-centre,Woodlands Civic Centre,"900 South Woodlands Drive, Singapore 730900"
woodlands-loop,Woodlands Loop,Woodlands Loop
chijmes-basement-car-park,Chijmes (Basement Car Park),30 Victoria Street Singapore 187996
